,vid_num,SwinBERT Captions,SwinBERT Confidence Scores
0,4042843624,a man is in a boat and he is trying to get his boat to the dock.,0.3989064693450928
1,11585784946,a man runs and jumps over a barrier and then runs into a barrier.,0.31686949729919434
2,11014741844,a woman is teaching a group of small children how to throw a frisbee.,0.5924290418624878
3,7999433239,a baby is being held up by a person and the baby is crying.,0.40437889099121094
4,8671680638,a woman is sitting on a couch and talking about a new couch.,0.4457534849643707
5,3836995607,a football player runs and catches a ball and runs to another player.,0.33756232261657715
6,5784145977,a man is holding a trophy and another man is holding a trophy.,0.3951722979545593
7,8903248754,a boy is swimming in a pool with a dog and a dog is swimming in the pool,0.37881043553352356
8,4450585900,a man is interviewing another man while he is interviewing him.,0.4284154772758484
9,3719700394,a man is standing in a field and talking to a woman while a man is standing next,0.34300315380096436
10,8552604535,a person is riding a sled down a snowy hill.,0.496633917093277
11,5567723527,a dog is running around a yard with a ball and a person is running around.,0.29474568367004395
12,12931165334,a woman is holding a dog and the dog is trying to get it to the ground.,0.3778756260871887
13,3117433834,a man is riding a bike down a wooden stairs.,0.44500473141670227
14,3260333327,a young boy is sitting in a baby stroller and another boy is pushing him in a,0.38152801990509033
15,12426662833,two people are fencing in a gym while others watch.,0.5006721615791321
16,8056742010,a woman is giving a weather report in front of a screen.,0.5878845453262329
17,7810597862,a cat is laying on a bed and someone is petting it.,0.5623217225074768
18,9908527013,a group of kids are running around in a yard and a little boy is running around.,0.4144527316093445
19,4300097370,a man is sliding down a snowy hill on a sled.,0.5681352615356445
20,3150999885,a man is giving a speech about the business of a conference.,0.3352491557598114
21,6068292020,a man is holding a trophy and then a woman is standing in front of a man.,0.3345700800418854
22,2683325258,a boy is standing in the grass and another boy runs and kicks him over.,0.43154528737068176
23,6852782860,a group of people are standing in a room and they are doing sign language.,0.5623184442520142
24,3534805493,two young boys are using a video game to record themselves.,0.3042644262313843
25,3248674031,a baby is swinging in a bouncer and then falls down.,0.4032272398471832
26,5398860552,a woman is teaching a young girl how to draw a picture of a girl.,0.4526488482952118
27,6531536825,a baby is playing with a puppet and talking to the baby.,0.3803457021713257
28,2415127881,a group of people are walking through a forest area.,0.5155484676361084
29,7499914046,a man is walking around a stairway and petting a cat.,0.42495447397232056
30,5464041286,a baby crawls on a couch and then falls down.,0.453341007232666
31,6074566861,a little boy is eating a snack and talking to someone.,0.4151090681552887
32,8432337082,a group of people are on stage acting out a play.,0.5043341517448425
33,4803117443,a woman is throwing a ball to a table and a dog is sitting on the table.,0.42651239037513733
34,3942858808,a little boy is hitting golf balls with a golf club.,0.5245690941810608
35,8283493827,two men are arm wrestling on a table in a studio.,0.4976824223995209
36,2694001531,two people are standing at a fence and watching animals.,0.3347338140010834
37,5211085354,a white car is driving across a grassy field and then a man is talking about it.,0.37667104601860046
38,10777238933,a man is holding a little girl and he is doing pull ups on a playground.,0.43013933300971985
39,5345106611,a person is playing a keyboard and then a person is playing a keyboard.,0.2799569368362427
40,3511344402,a man is setting up a table with a little girl and a little girl is playing with,0.2955315113067627
41,7447009524,a man and a woman are playing music on a stage.,0.47668448090553284
42,3832173058,a man and a child are riding an elephant through a jungle.,0.5684183239936829
43,3165351951,a dog is lying on the floor and a person is wrapping a stuffed animal.,0.45955419540405273
44,5291771072,a girl is ice skating on an outdoor ice rink.,0.5022602677345276
45,5340686202,a man and a woman are sitting on the floor and eating food.,0.5515081286430359
46,7547663114,a man is playing a saxophone while a woman is playing the saxophone.,0.5189270973205566
47,7160643474,a young boy is playing a trumpet in a room.,0.5048534870147705
48,3134436461,a large group of people are eating and eating at a restaurant.,0.5035908818244934
49,12080008545,a group of children are standing in a classroom and talking to each other.,0.4515811800956726
50,5312056948,a group of kids are playing instruments and making noise.,0.395643949508667
51,6217540914,a dog runs around in the grass and a person is running around with a dog.,0.3550988733768463
52,6047694826,three women are standing in front of a green wall and they are singing.,0.43407484889030457
53,12177919573,a woman is playing the piano while a man is playing the piano.,0.38105741143226624
54,8460864676,a baby is sitting in a high chair and eating a piece of watermelon.,0.6980623006820679
55,5005615246,an older man is talking to an older woman while she is sitting in a chair.,0.35721641778945923
56,4557618986,a small child is walking around on a hallway while a dog is barking at him.,0.36468505859375
57,8585039943,a group of men are sitting at a table and talking.,0.5335565209388733
58,9076264415,a group of people are playing with a dog and a dog is running around.,0.407207727432251
59,3277823769,a baby is sitting in a crib and shaking its head back and forth.,0.5587800145149231
60,5962045122,a man is riding a motorcycle down a trail in the woods.,0.4978336989879608
61,5624461612,a group of football players are practicing tackling each other.,0.4972238838672638
62,5286324304,a group of people are riding camels through a desert.,0.6048985719680786
63,3852224961,a band is playing on stage and a man is playing the guitar and singing.,0.4190210700035095
64,4511467153,a little girl is dancing around in a living room.,0.4932510554790497
65,3710731159,a woman is standing on a fence and brushing its hair.,0.37880852818489075
66,5570574289,a little girl is walking around a room with a toy and then she walks around.,0.34892144799232483
67,4751986193,a man is training a dog to a group of people.,0.43651553988456726
68,5890846203,two toddlers are playing on a toy car and the baby is laughing.,0.36694642901420593
69,11636217844,a woman is sitting on the floor and a dog is sitting on the couch.,0.41492995619773865
70,6811523608,a toddler is walking on a trampoline and then climbs up a small gym.,0.3312416672706604
71,6047834422,a man and a woman kiss each other and then kiss.,0.4979192316532135
72,4736805060,a woman is riding a bike with training wheels on the driveway.,0.49627143144607544
73,4983571737,a group of kids are standing in a field and they are playing rock paper scissors.,0.4788023829460144
74,3609482906,a woman and a little boy are playing a game of patty cake.,0.4869830012321472
75,9105782112,a man walks on a stage and shakes another man on a stage.,0.431656152009964
76,4092065263,a woman walks down a path and looks for something.,0.4086899161338806
77,5625120077,a chef is standing in a kitchen and is talking about cooking.,0.3813115954399109
78,3958035559,a baby is sitting in a baby seat and is shaking her head.,0.3548952341079712
79,8236032895,a man is drinking a beer and then he takes a drink.,0.337147980928421
80,7063395979,a little girl is blowing out the candles on a birthday cake.,0.611106812953949
81,6487370503,a little girl is doing sign language in front of a camera.,0.5163512229919434
82,6067475372,a little girl is playing a drum set with a drum stick.,0.393515944480896
83,6047310857,two men are standing in front of a green screen and they are waving their arms.,0.5088289976119995
84,4593651245,a baby is being held by a man and is trying to wake him up.,0.4360467791557312
